Sr No,Tweet,Sentiment
Neutral8,"#WuhanCoronavirus #Coronavirus
The vaccine of the coronavirus is underway. Wish the speedy recovery of the patients. ????????????????????
https://t.co/bQNeutralSwoPositiveAXx",Negative
Neutral9,"#WuhanCoronavirus #Coronavirus
Development of vaccine for novel coronavirus is underway. Wish the speedy recovery of the patients. ?????????????????? https://t.co/PEsCBOTSnz",Negative
Positive0,"#WuhanVirus #coronavirus #coronarvirues #China #CoronaOutbreak #coronaviruswuhan 

Passengers in airplane supposedly has 7 infected passengers. But footage is quite concerting to me because did everyone in that plane got quarantined? This plane is supposedly came from China-CA?? https://t.co/fn6v9wSiEb",Neutral
PositiveNegative,Stop. ???? The. ???? Racism. ???? #coronavirus #racismeantiasiatique,Negative
PositiveNeutral,Hope everyone is safe. I'm very much concerned with this #Coronavirus and just hoping that its contained asap though right now the numbers say otherwise. Stay Safe!!! ??,Negative
PositivePositive,"Good lord. ""Australian #coronavirus evacuees to be quarantined on Christmas Island"" 
https://t.co/h9z8IPositive4pda
???????????
And no, Christmas Island is not the place of merriment and wonder for good little boys and girls that the name might imply: https://t.co/QfnclNeutralboaO",Negative
Positive4,"Hate to brake the news to all the freshman and sophomore girls, but @tfitzNegative4Negative has all Neutral5 known STDs?????? #coronavirus",Negative
Positive5,"At least Negative70 Dead and 7000+ Confirmed Cases of #coronavirus across the world. (Of which, at least 9Negative outside #China) Nearly 60Million in partial or full lockdown in China. ??????#coronaviruschina #coronarvirues #coronavirusec https://t.co/KyNMZcEwnD",Positive
Positive6,"An old Chinese dude burped in front of me today and I smelt it ??
#coronavirus",Neutral
Positive7,Organic face mask. ASTM Level unknow. #coronavirus #Coronavirustoronto ?? https://t.co/8upNeEecxA,Neutral
Positive8,"New #coronavirus study with 99 patients had a NegativeNegative% fatality rate.
""However, additional deaths might occur in those still hospitalized.""
At the end of this study, over Neutral/Positive's of the original patients were either still hospitalized, or dead. ??
https://t.co/Hht4TdSLwJ",Negative
Positive9,Accurate or nah??? #Coronavirus https://t.co/NegativeanWKPdhNegativer,Neutral
40,"Dear Twitter ??

A very vital information on #CoronaVirus????",Negative
4Negative,"#WuhanCoronavirus #Coronavirus
Thanks for the vlog showing the truth and situation in Wuhan. All people are cooperative and united to overcome it! ??????????????????
https://t.co/ilhHFpfmtp",Negative
4Neutral,"Thinking about #Coronavirus/pandemics. ItÕs the Neutral0Neutral0s, and the vast Information Age has blessed us with #Antivaxers organizing and other stupidity. Speaking as someone who is libertarian-leaning: Science takes priority. ?? Read your history books. Take your vaccines. Be grateful. https://t.co/WQLvhNeutraluNegativeFn",Negative
4Positive,"#WuhanCoronavirus #Coronavirus
Reporters visited the citizens in Wuhan and send their blessings to them. All people are cooperative and united to overcome it! WUHAN JIAYOU  ??CHINA JIAYOU ?? https://t.co/TncPositivevVPositiveNeutral8v",Negative
44,"This is how gross misinformation is spread regarding #Wuhan #Coronavirus. The study referenced indicates that NegativeNegative% **** OF THE Negative7% WHO DEVELOPED Acute Respiratory Distress Syndrome **** died.  That means &lt; Neutral % developed ARDS and went in to die.
It DOESNÕT mean NegativeNegative% mortality for ??",Negative
45,"May come in handy...??
DIY Pandemic Ventilator : 6 Steps with Pictures. 
#coronavirus https://t.co/haxgWMfPGg",Negative
46,The #coronavirus situation in Australia just got a whole lot worse. We definitely needed a NICU mum to sort this shit out ??,Neutral
47,"#WuhanCoronavirus #Coronavirus
Reporters visited the citizens in Wuhan and send their blessings to them. All people are cooperative and united to overcome it! BEST EISHES! ?????????????????? https://t.co/ftFAjgESfPositive",Negative
48,"#WuhanCoronavirus #Coronavirus
Reporters interviewed some citizens in Wuhan and sent their blessings to them! BEST WISHES! ?????????????????? https://t.co/F9OIdNeutralQZ7E",Negative
49,"Total number of cases of #coronavirus worldwide reach 8,000. A case in Tibet is confirmed, meaning the virus has spread to all PositiveNegative provinces, municipalities &amp; autonomous regions on mainland #China. ????
#CoronaOutbreak ?? 
https://t.co/dmpQlOJa7d",Positive
50,Schade...?????? #CoronaVirus,Positive
5Negative,"#coronavirus yet not in India !! And I guess it canÕt survive in India, as @WhatsApp has already made everyone alert &amp; literate about treatment?????. From Rasam to Chai, everything. ??",Negative
5Neutral,"What is the most terrifying with the #coronavirus is :  As death seems to arrive many days after first symptoms, with those thousands of new infected, the fatality rate could be WAY more then Positive %   Please someone tell me I am wrong ????",Neutral
5Positive,#outbreak #coronavirus #karma ?? China confirms Negative70 deaths as coronavirus spreads to multiple countries  https://t.co/h6LWZkfPvB,Neutral
54,Gabby said when she first heard of the #Coronavirus she thought it was a virus you get from drinking a Corona Beer ??????  #funnythingskidssay,Positive
55,The number of times people ask me if I have the #coronavirus is getting a bit out of hand... and IÕm fine ??,Positive
56,"Do read this, and spread! ????

Helping the world find credible information about novel #coronavirus https://t.co/4NegativelWHIQ6VJ",Negative
57,"Hubei province,a father was isolated for #coronavirus. His son has #CerebralPalsy, alone at home, was died after  6 days , starved to death in the shit finally?? ????How many disabled families end up miserable in Wuhan? In China? I am one of them!red #ChinaziVirus #bloodycrimes",Neutral
58,"#coronavirus
#Wuhancoronavirus

BBCNews 
Wuhan Mayor also blames Beijing. He says he had to get approval from Beijing to spread the word about the virus.??

WHO apologized for initially saying risk was MODERATE when it should have been HIGH.

Ano? Helloh #DOHque???
#halalanNeutral0NeutralNeutral",Positive
59,"That's where the #coronavirus come from ?? 
@Ffs_OMG https://t.co/dFC9VuuznJ",Neutral
60,"Forget #Coronavirus, the Virus Liberalis is a far far more dangerous threat. ??",Positive
6Negative,No better time than ever to watch Dawn of The Dead ?? #coronavirus,Positive
6Neutral,"To all the people of #Wuhan, of #Hubei, of #China, who are suffering from the #CoronaVirus, may you be well... It is heartbreaking to see what is happening??",Negative
6Positive,"TFW you go to a local bank branch and Negative/Neutral the staff are wearing face masks.
#coronavirus ????",Positive
64,So the #coronavirus is not anything new ? Ok then cool ???????????? https://t.co/5UhxlCaxvh,Neutral
65,What the fuck !! Is it for real ??? Mad ppl ?? #coronavirus https://t.co/LhQbGCHg0V,Neutral
66,So easy to get sucked into all the media hype! I swear the true virus is sat in our hands... our phones!! ??????????? #coronavirus,Positive
67,The facts about #coronavirus they held a banquet after arresting media and citizens who were trying to warn people about the virus worst part is they held the banquet Positive miles away ???????? must watch https://t.co/dAavVe0U6X #WuhanCoronavirus  no conspiracy theories here !!!!! https://t.co/ooeeniZCzS,Neutral
68,The #coronavirus could kill you in a month! ThatÕs why I recommend you enroll in my YouTube Launch Program today - DonÕt wait until your dead ??,Neutral
69,"Good morning ???
#goodmorning #NZvsIND #Bigil #ThalapathyVijay #coronavirus #ThursdayMotivation #thursdaymorning #ThursdayThoughts #upsc #tnpsc #theexampost https://t.co/9yYD0kLFJQ",Negative
70,"Water bottles: BANNED

#Coronavirus: ??

Wuhan? ""screenings"" 

Welcome to San Francisco",Positive
7Negative,YÕall got CoronaVirus we got ModeloVirus ???? #modelo #beervirus #coronavirus https://t.co/4ZuRBVEQB4,Neutral
7Neutral,"Send Positive Chinese guys to #ShaheenBagh &amp; announce they have #coronavirus .

 All anti #CAANeutral0Negative9 nautanki virus will disappear ! ??

#ShaheenBaghProtests",Neutral
7Positive,"Does the world ?? face epidemic every century, exactly Negative00 years ? ?? #world #coronavirus #outbreak #Coincidence",Negative
74,"NUMBER GO UP ???????????
#coronavirus https://t.co/nzFokbs8MY",Positive
75,"A mock drill is conducted at a Chennai hospital on probable #Coronavirus affected patients. 

Follow live updates: https://t.co/fTyPzhq0x9

?? via @snehamordani https://t.co/pnPuQNegativecv0P",Negative
76,I wish this #coronavirus would end so strangers will stop hitting me up for face masks ??,Negative
77,"Do the masks really work to stop the spread of #Coronavirus ??? They are selling out at some shops, We #Verify with an infectious disease doctor about if wearing face masks are helpful. @CBS8 
https://t.co/wjILWCZPositivedL https://t.co/VlFBZJelsE",Negative
78,"#coronavirus
No point of wearing masks when you can also get infected through your eyes ??

These people are taking it to the next level ?? https://t.co/ko8qX0lboV",Neutral
79,Hummmmm... ???? I am a little worry about advice number 5... ?????? #Lol #coronavirus https://t.co/E9ipl0NNil,Neutral
80,"LMAO the first ÒconfirmedÓ #coronavirus in Northern Ireland turned out to be a hangover and the fucking mans wife answer is the best ???? Òfuck all wrong with the cuntÓ
I love the Irish https://t.co/ryPositivewsQNegativeCT6",Neutral
8Negative,When I tell you majority of the stores are sold out of face masks ??. Smh itÕs crazy! #CoronaVirus,Neutral
8Neutral,"ÒYouÕve searched ÔvirusÕ many times, you may find this as helpfulÓ ??#medtwitter #coronavirus #antivirus #advertising #globalhealth #Nepal https://t.co/qiSrzaGicY",Positive
8Positive,"Asian stocks extend their losing streak as a sell-off continues on #Coronavirus fears:

??Hong Kong stocks open in red ??

??Taiwan stocks at lowest level since Dec. NegativeNegative ??",Neutral
84,My #Coronavirus #Bugout Bag Is Complete. ???? I will never starve with these Neutral beauties.  ?????????????????????? https://t.co/AyyQB7ZCYc,Negative
85,"Wait. If #CoronaVirus is less of a threat than the flu and isnÕt spread unless people have symptoms (as Globalist elites keep telling us), then why a scramble? ??????

Health alert issued over Tigerair flight after passenger diagnosed with coronavirus  https://t.co/WPositivekCesP6YY",Negative
86,clorox wipes kills the #coronavirus ?? https://t.co/CV40lQWBgF,Negative
87,"CanadaÕs Chief Medical Officer in the midst of #coronavirus taking time to falsely label Canadians as racists??

Did she have the same comment on racism and stigmatizing actions-ape like gestures-of Justin Trudeau in head to toe black paint?",Positive
88,"Its Positive.5Positiveam and I'm very deep into #coronavirus conspiracy theories right now. They're deffo going the  Soviets ""play down everything and arrest people who spread info about it"" way ??????",Negative
89,Can UV lughts be used to kill #coronavirus ? ??,Negative
90,?????????? People are confusing #coronavirus with #CoronaBeer thinking #coronavirus is coming from #CoronaBeer #CoronaOutbreak               #NeverForget_foul_play_of_Congress       @BjpITCELL97 @GopalPositiveNegativePositive4600Neutral @OmBishnoii @YouthBJP @Realbharti @Viral_SMS @Being_Archna https://t.co/4cY8GL5xAG,Negative
9Negative,Pretty sure staying out in the middle of no where for a month will be wise considering ?????? #coronavirus  still donÕt know for sure tho,Positive
9Neutral,"??Where did the #coronavirus come from?
Was it man made?
Why did it happen in China, was it a coincidence, If not what was the purpose?
https://t.co/EcDrpRKvQG
https://t.co/s0ynmN7b7Y
https://t.co/AM7aLNeutralEhrK
https://t.co/4nTxuEIdf9
https://t.co/qJBeDPQvKK
https://t.co/PositiveHXnpYBgIl",Negative
9Positive,"#coronavirus #chinavirus #coronaviruschina #wuhan #wuhanvirus #wuhanchina #wuhancoronavirus #thailandandchina ..with love to Wuhan, China from Thai people ? @ Bangkok, Thailand https://t.co/dxbxW4LhYv",Positive
94,"#WuhanCoronavirus  #Coronavirus
A nurse wanted to back to her work in Wuhan after her break. She was enthusiastic and devoted herself in healing the patients. So touching... ?????????? JIAYOU WUHAN ???
https://t.co/ttHppusz9M",Negative
95,The more you know ?? #coronavirusec #coronavirus #washyourhands https://t.co/nijWhM6cbz,Negative
96,Sending prayers to the city of Wuhan ???? #coronavirus #Wuhan,Negative
97,"#WuhanCoronavirus #Coronavirus
A nurse wanted to back to her work in Wuhan after her break. She is enthusiastic and devoted herself in healing the patients. So touching... ???????????????? Send my blessings from the bottom of my heart. ????????? https://t.co/jKbEPositiveldfwPositive",Negative
98,"Amid #coronavirus breakout, gestures like this, restores my faith in humanity.
??Peace",Negative
99,"The doctor the nurse ????????#WuhanVirus
#coronavirus #WuhanCoronovirus #ChinaVirus https://t.co/cupEXSfGbs",Negative
Negative00,"Bill Gates and his cooked up #CoronaVirus 

Fear mongering the masses...
Pandemic exercises....

?????? ?????? ??????

https://t.co/84L5hGNmYA",Negative
Negative0Negative,When u see others can get out but u canÕt. U get jealous. ??????#coronavirus #baotou @ Baotou https://t.co/wNegativegDXoEQcy,Neutral
Negative0Neutral,"The number keeps rising:( if deaths in China! ???? #coronavirus #letspray #JesusIsLord #healusGod 
 China confirms Negative70 deaths as coronavirus spreads to multiple countries  https://t.co/YsaAoLjNegativedD",Positive
Negative0Positive,colleague sent me this picture saying her students are receiving masks instead of money in light of #coronavirus fears. ?? https://t.co/VNt84Positive4mNeutralT,Negative
Negative04,#coronavirus End of world ??,Neutral
Negative05,"I'm sickening of humans. The more I see tweets &amp; ppl opinions towards #coronavirus  They've shown their cold hearts, and some Westerns tried to gain their self confidence over Chinese at this time. The world is really the open gate to hell for mankind. ??",Negative
Negative06,"This podcast is a MUST listen for everyone concerned about the #coronavirus, #WuhanOutbreak + the plight of the wonderful Chinese people.?? https://t.co/odXNegativetPositivePositiveh8q #batchelorshow @realDonaldTrump @vp @SalenaZito @lizpeek @JenniferHYChan @jimcramer @Jkylebass #USA #China #UK #HKG",Negative
Negative07,"Glad I donÕt post messages &amp; conversations... 
Some of yÕall bitches would be #CoronaVirus sick ??",Neutral
Negative08,So they've mapped the magnetic fields of the Sun's corona and there's something called the #coronavirus hmmmm... This is the most detailed image of the sun's surface to date ?? https://t.co/kBwwd6LgOO,Positive
Negative09,YÕall not catching me slippin #coronavirus ?? https://t.co/6HitCHPGt7,Neutral
NegativeNegative0,No wonder we now have the #coronavirus WTH ???????,Neutral
NegativeNegativeNegative,"CHINA IS LYING to the world &amp; to its citizens about the #coronavirus #WuhanCoronavirus #coronavirusec #CoronaVirusKenya #coronavirususa #CoronaVirusCanada #CoronaOutbreak #ChinaCoronaVirus #ChinaVirus #China #lies #wakeup 
????????????
https://t.co/qNegativeXJaNLMlw",Neutral
NegativeNegativeNeutral,"???? #CHINA #Wuhan

People barricade the entrance to their homes.

? #Coronavirus
? #WuhanCoronavirus
? #CoronaOutbreak
? #WuhanPneumonia
Êhttps://t.co/5pcGyeBSMa",Positive
NegativeNegativePositive,"#Wuhan #CoronaVirus ??

Wuhan coronavirus cases top 7,000: Live updates https://t.co/JRDJNeutralGNegativeZ8D",Neutral
NegativeNegative4,"I was bitterly about to say, "" aren't you supposed to wear a mask?""
????
#coronavirus",Positive
NegativeNegative5,"???? #CHINA #Wuhan

People barricade the entrance to buildings.

? #Coronavirus
? #WuhanCoronavirus
? #CoronaOutbreak
? #WuhanPneumonia
https://t.co/gfwWwsjuNeutralJ",Positive
NegativeNegative6,"#CoronaVirus
Dead/Infected since NeutralNegative Jan
NeutralNegative - 6 / Positive00
NeutralNeutral - Negative5 / 500
NeutralPositive - Neutral6 / 8Positive0
Neutral4 - 4Negative / NegativeNeutral87
Neutral5 - 66 / Neutral000
Neutral6 - 80 / Neutral700
Neutral7 - Negative07 / 4500
Neutral8 - NegativePositiveNeutral / 5974
Neutral9 - Negative70 / 7700

The nCoV has now spread to every region of mainland China ??

Remain at alert. Wash your hands always.
??",Positive
NegativeNegative7,Well we canÕt land anywhere bois ???????#coronavirus https://t.co/zp4YtdOymQ,Neutral
NegativeNegative8,#Arkansas #coronavirus It has NOT been confirmed! I repeat ÒNOT confirmedÓ. Read the damn words!! They actually have meaning. ?? Stop the fear mongering.,Negative
NegativeNegative9,"Wtf Applebee's? 
Licking bowls leads to 
licking bowls??
 #coronavirus
#gross",Neutral
NegativeNeutral0,?? I've been waiting for one of them w/#TDS  to blame @realDonaldTrump for #Coronavirus &amp; other diseases.  #BatshitCrazy ?? https://t.co/qRNCTYaWkz,Positive
NegativeNeutralNegative,corona virus got me like ????? #coronavirus https://t.co/dFMoc7aNeutral9s,Positive
NegativeNeutralNeutral,NegativeNegative people in Japan have #coronavirus   as of today. Three returnees from Wuhan on WednesdayÕs flight tested positive for #Neutral0Negative9nCoV. Two of them did not show ANY symptoms but still tested positive! What do you make of that @DrEricDing? Quite worried here in Tokyo! ??,Positive
NegativeNeutralPositive,"#HongKong govt worker can easily give a box of 50 face mask but our CEO cannot? #coronavirus
CSI = made by Correctional Service prisoners using #Hongkong taxpayers money! This bitch 777 is using the same CSI mask, why the elderly queued up fr NegativeNegativepm last night, but can't get one??? https://t.co/UfEQyPositivev4tA",Negative
NegativeNeutral4,"A DON'T PANIC ?? THOUGHT for Thursday!

At the current rate of growth of the #Wuhan Neutral0Negative9-nCov #coronavirus ?? we will see:

Over Negative0,000 confirmed cases and 
Over Neutral50 deaths 

In the next Neutral4HOURS! ??

https://t.co/Mv4JSRlQUhÉ

#China #WuhanOutbreak  
PS
It's a lot milder than Flu",Positive
NegativeNeutral5,"#WuhanCoronavirus #Coronavirus
A foreign student interviewed by a reporter and talks about his living in Wuhan.
BEST WISHES! ???????
https://t.co/hwXehIIy8w",Neutral
NegativeNeutral6,"Yes, the #coronavirus is a global threat, and the delay and suppression of the Chinese government is reprehensible.

But please donÕt hate on regular, everyday Chinese people. TheyÕre awesome.

????????????????????????????",Negative
NegativeNeutral7,Pray for #China ?? #CoronaVirus,Negative
NegativeNeutral8,"#coronavirus PLEASE STAY SAFE EVERYONE. There is no way to tell how bad this will be. Protect ur selves as much as possible as Hygiene &amp; Good Nutrition is ""CRUCIAL NOW"" more than ever. PREVENTION IS THE CURE! Universe pls help us ?? #Cornavirus #CoronaOutbreak #backtoschoolNeutral0Neutral0",Negative
NegativeNeutral9,"#WuhanCoronavirus #Coronavirus
A foreign student interviewed by a reporter and talks about his living in Wuhan. BEST WISHES! ???????We will overcome it! ?????????? https://t.co/7QNETckqQe",Negative
NegativePositive0,"?China forbids Muslim women from covering their faces.
?And Allah has made mask compulsory in China. #coronavirus #CoronavirusOutbreak https://t.co/PositivexGwDOjWfv",Positive
NegativePositiveNegative,How tf that virus got here before you outfit for the weekend ???? #coronavirus #outbreak,Neutral
NegativePositiveNeutral,This #coronavirus was never in Africa but now they tryna bring it here ?? abare tseye bo best,Positive
NegativePositivePositive,"Subjectively, the world has become a safer place with #coronavirus taking place. Because now I can't read anymore about US warmongering. I am sure it is still taking place, just became invisible in the media for now. ??",Negative
NegativePositive4,"It's funny how everyone is happy to listen to scientists about #CoronaOutbreak but not the #ClimateEmergency ??

#coronavirus #auspoI #qanda",Negative
NegativePositive5,Stay Woke ! ?? #retweet #coronavirus https://t.co/bpvIgNeutralHaNegativet,Positive
NegativePositive6,"As the #Coronavirus outbreak intensifies, the EU Civil Protection Mechanism has been activated on request from France.
Two planes will be mobilised to repatriate EU citizens from the Wuhan area to Europe.
?? Overview of the outbreak: https://t.co/B5KsFBcR5M",Negative
NegativePositive7,"Negative4 confirmed #coronavirus in Texas, but dont see anything about it on the news.. i wonder why??

Stay aware people https://t.co/fUvwiFR9xS",Positive
NegativePositive8,Caption this!?? #coronavirus https://t.co/mJIid5ig59,Positive
NegativePositive9,"A White House #Coronavirus Task Force? Hm ??

Google closes down its office in #China?! Hmmmm ??

Boston-Chinese espionage of the #Harvard Biology and Chemistry department???!!? Hmmmmmmmmm! ??

#QAnon #TheGreatAwakening #Wuhan",Positive
Negative40,"What if #coronavirus is spread in purpose in China to make this country weak? Imagine, no planes in and out, no tourists, no businesses, no Ali Express  packages, suspended import and export. Everything is frozen and every single day they lose lots of money ??",Positive
Negative4Negative,"I have a coworker, whoÕs brothers gf lives in Wuhan and she has the #coronavirus and sheÕs quarantined inside her house, and the government shut off her internet. To me that seems hella fishy ??",Neutral
Negative4Neutral,"#coronavirus PLEASE STAY SAFE EVERYONE. There is no way to tell how bad this will be. Protect ur selves as much as possible as Hygiene &amp; Good Nutrition is ""CRUCIAL NOW"", more than ever. PREVENTION IS THE CURE! ?? #Cornavirus #CoronaOutbreak #backtoschoolNeutral0Neutral0",Negative
Negative4Positive,Please be safe everyone?????? #coronavirus #CoronaOutbreak https://t.co/hcKwrrVzs4,Negative
Negative44,"????
Primarily, may not China but the #greediness in the #human is the cause of #Coronavirus!",Negative
Negative45,"#coronavirus BREAKING NEWS: PLEASE STAY SAFE EVERYONE. There is no way to tell how bad this will be. Protect ur selves as much as possible as Hygiene &amp; Good Nutrition is ""CRUCIAL NOW"" more than ever. PREVENTION IS THE CURE! ?? #Cornavirus #CoronaOutbreak #backtoschoolNeutral0Neutral0",Negative
Negative46,Protect yourself ?? from this #Coronavirus?? https://t.co/xyOMLpVFc7,Negative
Negative47,"This is racist ??

#coronavirus

https://t.co/SXe8NegativeANegativeq8Neutral",Neutral
Negative48,They will not die because of #coronavirus if they have survived and made it this far without a brain?? https://t.co/SvcqjNegativeNegative4We,Positive
Negative49,Thank you to all healthcare personnel and reporters on the front lines ?????? #coronavirus,Negative
Negative50,"Google has seen a dramatic spike for the search words ""corona beer virus"". ????? https://t.co/rD7v9JVpFE via @VICE #Coronavirus",Positive
Negative5Negative,"I created a #CoronaVirus list of vetted epidemiologists and scientists if you're looking for info.
The tweets are mostly unguarded, apolitical.

No one has yet to tweet:
 ""This is my last tweet, good luck to everyone!""
but if anyone in this group does ??

https://t.co/qcV0XBvEIg",Neutral
Negative5Neutral,"5 million people left Wuhan right before lockdown 
ok good afternoon ??#coronavirus",Positive
Negative5Positive,The Indian government has set up a Neutral4X7 helpline number to attend to queries about #coronavirus: 0NegativeNegative-NeutralPositive978046. Rt &amp; Spread ????,Negative
Negative54,#Coronavirus patients are being sealed off for quarantine inside their home in China. Looks beyond bizarre! ?? https://t.co/DtAAm7qPositivejS,Negative
Negative55,"There you have it .... #coronavirus just exploded in the United States... thanks @CNN 

??????????See map here https://t.co/jgXThQNegativeNTl",Neutral
Negative56,"#US 7Neutral hours #hold #Californi #Airbase #Military #China #Quarantine #Evaluation #Tests #Coronavirus #Neutral0Negative9nCoV #Symptoms #NoSymptoms #Health #Pneumonia #FLU #Influenza #SARS #MERS #mutation #Concerns #Respiratory #Lungs #Eyes #Nose #Inhaling

Eh what could go wrong?... ?? smh https://t.co/JIi5j6408G",Positive
Negative57,"Ha! JokeÕs on you drinkers! 

IÕm sober so I canÕt get the #coronavirus. ??

IÕll see myself out.",Positive
Negative58,"https://t.co/brOnENl6HF
Stop spreading FALSE INFO from unverified links.

Be ALERT, not ANXIOUS. ?? ??
#CORONAVIRUS",Negative
Negative59,"Also this morning I gave a brief reading to the news coming from all over the?? and I believe that:

#coronavirus is a bioterrorist attack;

Taliban leaders in Doha don't even know what's going on in AFG;

US foreign policy really looks like one of the biggest disasters of Neutral0Neutral0.",Neutral
Negative60,#Coronavirus never ??,Negative
Negative6Negative,"?? #CoronaVirus And just like that Democrats believe in borders &amp; travel bans ??????? Do they realize Fentanyl &amp; Islamic terror is MORE DEADLY, oh the irony ????",Neutral
Negative6Neutral,Some great analysis on #coronavirus in #TimorLeste from @fundasaunmahein ?? https://t.co/KrqlvXaYKB,Negative
Negative6Positive,Mainland Chinese are always creative. You know what to do when youÕre out of surgical masks ?? #coronavirus https://t.co/TUNrtnQviz,Negative
Negative64,"#coronavirus 
Respect to the real doctors ???? https://t.co/nSs0jfjjxK",Negative
Negative65,So tired of scrolling through the #coronavirus tag looking for info and seeing sheer ignorance and racism. ?? either hush or admit you have 0 understanding of socioeconomics and different cultures.,Negative
Negative66,"Recommended reading ????

#coronavirus 

https://t.co/BnTphza6XS",Negative
Negative67,"If I had to rate my stress level right now, IÕd say IÕm pretty close to Neutral007 @britneyspears???????????

#coronavirus #pandemicnetflix https://t.co/PositiveSY7GkXPositiveko",Positive
Negative68,Boycott China! Country is disgusting ?? #coronavirus,Neutral
Negative69,#coronavirus I'm speechless. This is why we need educated people to run the country. ???????????? https://t.co/UOYgHmk9uS,Negative
Negative70,"If I get the #coronavirus
Best believe IÕm catching LymeÕs diesease too

Corona always gets its Lyme????",Neutral
Negative7Negative,Well done @KKMPutrajaya @MyHEALTHKKM to provide usefull notification on @Twitter search bar ?? #coronavirus https://t.co/OJBtI7MgLz,Negative
Negative7Neutral,Awake since Positiveam Googling #coronavirus IÕve everything but the fever ??????????????,Positive
Negative7Positive,Things are really bad??#coronavirus,Positive
Negative74,"the #coronavirus have infested 7,000 people &amp; has killed over Negative70 people!!!????",Positive
Negative75,"Someone bring #coronavirus in Mzansi, wanna see something ????",Neutral
Negative76,the ?? corona ?? virus ?? is ?? not ?? a ?? free ?? ticket ?? to ?? be ?? racist ?? towards ?? Asian ?? &amp; chinese ?? people. Stfu #coronavirus,Neutral
Negative77,"#Singapore #WuhanCoronavirus #coronavirus 
4 face masks per household amidst this outbreak where virtually all retail shops are running out of masks? ??
https://t.co/FT5TPositivej0Wma",Negative
